everyday,quantity,forecast_quantity
01-10-2022,8760,0
02-10-2022,9720,0
03-10-2022,11820,0
04-10-2022,12720,0
05-10-2022,11880,0
06-10-2022,11520,0
07-10-2022,8460,0
08-10-2022,12120,0
09-10-2022,12000,0
10-10-2022,10800,0
11-10-2022,8820,0
12-10-2022,8700,0
13-10-2022,9600,0
14-10-2022,9180,0
15-10-2022,10260,0
16-10-2022,10560,0
17-10-2022,10200,0
18-10-2022,9480,0
19-10-2022,10140,0
20-10-2022,9480,0
21-10-2022,10200,0
22-10-2022,10620,0
23-10-2022,12180,0
24-10-2022,12480,0
25-10-2022,13920,0
26-10-2022,10320,0
27-10-2022,12300,0
28-10-2022,9900,0
29-10-2022,9600,0
30-10-2022,8760,0
31-10-2022,10560,0
01-11-2022,9420,0
02-11-2022,10680,0
03-11-2022,9060,0
04-11-2022,10320,0
05-11-2022,10140,0
06-11-2022,11640,0
07-11-2022,9540,0
08-11-2022,11340,0
09-11-2022,9240,0
10-11-2022,10860,0
11-11-2022,8400,0
12-11-2022,10740,0
13-11-2022,9540,0
14-11-2022,11400,0
15-11-2022,8880,0
16-11-2022,10920,0
17-11-2022,7920,0
18-11-2022,10980,0
19-11-2022,9840,0
20-11-2022,9660,0
21-11-2022,9840,0
22-11-2022,9720,0
23-11-2022,9480,0
24-11-2022,9120,0
25-11-2022,9120,0
26-11-2022,11400,0
27-11-2022,9360,0
28-11-2022,11580,0
29-11-2022,9960,0
30-11-2022,11040,0
01-12-2022,9660,0
02-12-2022,11340,0
03-12-2022,10620,0
04-12-2022,11820,0
05-12-2022,10800,0
06-12-2022,11700,0
07-12-2022,9420,0
08-12-2022,9960,0
09-12-2022,8220,0
10-12-2022,10080,0
11-12-2022,7860,0
12-12-2022,7020,0
13-12-2022,7320,0
14-12-2022,8220,0
15-12-2022,8220,0
16-12-2022,9480,0
17-12-2022,9960,0
18-12-2022,10980,0
19-12-2022,10140,0
20-12-2022,10860,0
21-12-2022,8760,0
22-12-2022,12000,0
23-12-2022,10320,0
24-12-2022,9900,0
25-12-2022,9720,0
26-12-2022,10620,0
27-12-2022,10140,0
28-12-2022,10560,0
29-12-2022,10140,0
30-12-2022,11940,0
31-12-2022,12420,0
01-01-2023,11580,0
02-01-2023,12420,0
03-01-2023,11700,0
04-01-2023,10560,0
05-01-2023,11280,0
06-01-2023,10560,0
07-01-2023,11820,0
08-01-2023,10200,0
09-01-2023,11100,0
10-01-2023,9300,0
11-01-2023,9120,0
12-01-2023,9180,0
13-01-2023,11820,0
14-01-2023,12060,0
15-01-2023,13140,0
16-01-2023,10560,0
17-01-2023,10680,0
18-01-2023,9240,0
19-01-2023,10200,0
20-01-2023,9600,0
21-01-2023,11160,0
22-01-2023,10380,0
23-01-2023,11400,0
24-01-2023,10080,0
25-01-2023,11580,0
26-01-2023,11040,0
27-01-2023,10680,0
28-01-2023,12060,0
29-01-2023,12180,0
30-01-2023,11880,0
31-01-2023,13140,0
01-02-2023,12240,0
02-02-2023,11280,0
03-02-2023,10740,0
04-02-2023,15720,0
05-02-2023,13500,0
06-02-2023,15120,0
07-02-2023,13680,0
08-02-2023,13140,0
09-02-2023,13380,0
10-02-2023,13680,0
11-02-2023,13560,0
12-02-2023,14700,0
13-02-2023,13920,0
14-02-2023,14760,0
15-02-2023,13020,0
16-02-2023,14280,0
17-02-2023,12720,0
18-02-2023,16560,0
19-02-2023,17400,0
20-02-2023,15300,0
21-02-2023,12720,0
22-02-2023,12780,0
23-02-2023,12240,0
24-02-2023,13560,0
25-02-2023,11940,0
26-02-2023,14400,0
27-02-2023,15660,0
28-02-2023,13860,0
01-03-2023,13980,0
02-03-2023,13860,0
03-03-2023,12960,0
04-03-2023,14400,0
05-03-2023,12900,0
06-03-2023,15180,0
07-03-2023,14400,0
08-03-2023,12840,0
09-03-2023,12360,0
10-03-2023,12480,0
11-03-2023,13260,0
12-03-2023,14220,0
13-03-2023,12540,0
14-03-2023,14520,0
15-03-2023,12780,0
16-03-2023,13440,0
17-03-2023,13140,0
18-03-2023,13980,0
19-03-2023,13920,0
20-03-2023,14280,0
